"BalanceCurrentAccount","DurationMonths","PaymentPreviousCredits","PurposeCredit","AmountCredit","ValueSavingsOrStocks","InCurrentEmployment","InstallmentAvailableIncome","GenderMaritalStatus","FurtherDebtorsGuarantors","LivingCurrentHousehold","MostValuableAssets","Age","FurtherRunningCredits","TypeApartment","NumberPreviousCreditsThisBank","Occupation","NumberPersonsEntitledMmaintainance","Telephone","ForeignWorker","Creditability"
">=200 DM",6.0,"no previous credits or paid back","used car",1543.0,"between 500 and 1000 DM","between 1 and 4 years","less than 20","male:divorced/living apart","none","between 1 and 4 years","no assets",33.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no balance",11.0,"no previous credits or paid back","used car",1577.0,"between 500 and 1000 DM","less than 1 year","less than 20","female:divorced/living apart/married","none","less than 1 year","no assets",20.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no balance",15.0,"paid back previous credits at this bank","items of furniture",2728.0,"greater than 1000 DM","between 4 and 7 years","less than 20","male:single","guarantor","between 1 and 4 years","no assets",35.0,"at other banks","rented","4 or 5","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no running account",6.0,"paid back previous credits at this bank","other",860.0,"no savings","greater than 7 years","greater than 35","female:divorced/living apart/married","none","greater than 7 years","ownership of house or land",39.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
">=200 DM",18.0,"no previous credits or paid back","household appliances",1943.0,"no savings","less than 1 year","less than 20","female:divorced/living apart/married","none","greater than 7 years","no assets",23.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
">=200 DM",15.0,"paid back previous credits at this bank","items of furniture",1316.0,"between 100 and 500 DM","between 1 and 4 years","between 25 and 35","male:married/widowed","none","between 1 and 4 years","car/other",47.0,"no further running credits","rented","2 or 3","unskilled with permanant residence","3 and more","no","yes","good"
"no running account",21.0,"no previous credits or paid back","items of furniture",1835.0,"no savings","between 1 and 4 years","between 20 and 25","female:divorced/living apart/married","none","between 1 and 4 years","no assets",25.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","bad"
"no balance",12.0,"no previous credits or paid back","other",836.0,"less than 100 DM","less than 1 year","less than 20","female:divorced/living apart/married","none","between 1 and 4 years","car/other",23.0,"at other banks","rented","one","unskilled with permanant residence","3 and more","no","yes","bad"
"<= 200 DM",18.0,"no previous credits or paid back","other",1961.0,"no savings","greater than 7 years","between 20 and 25","female:divorced/living apart/married","none","between 1 and 4 years","savings contract with a building society/Life insurance",23.0,"no further running credits","rented","one","executive/self-employed/higher civil servant","3 and more","no","yes","good"
">=200 DM",24.0,"paid back previous credits at this bank","items of furniture",2424.0,"greater than 1000 DM","greater than 7 years","less than 20","male:single","none","greater than 7 years","car/other",53.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
">=200 DM",6.0,"no previous credits or paid back","items of furniture",1595.0,"no savings","between 4 and 7 years","between 20 and 25","male:single","none","between 1 and 4 years","car/other",51.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","0 to 2","no","yes","good"
"no balance",48.0,"hesistant payment of previous credits","business",18424.0,"no savings","between 1 and 4 years","greater than 35","female:divorced/living apart/married","none","between 1 and 4 years","car/other",32.0,"at other banks","rented","one","executive/self-employed/higher civil servant","3 and more","yes","no","bad"
"no running account",24.0,"problematic running accounts","used car",6872.0,"no savings","less than 1 year","between 25 and 35","male:divorced/living apart","none","less than 1 year","car/other",55.0,"at other banks","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","bad"
"no balance",36.0,"no problems with current credits at this bank","other",7432.0,"no savings","between 1 and 4 years","between 25 and 35","female:divorced/living apart/married","none","between 1 and 4 years","car/other",54.0,"no further running credits","free apartment","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
">=200 DM",30.0,"paid back previous credits at this bank","new car",7596.0,"greater than 1000 DM","greater than 7 years","greater than 35","male:single","none","greater than 7 years","savings contract with a building society/Life insurance",63.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"<= 200 DM",10.0,"paid back previous credits at this bank","items of furniture",1347.0,"greater than 1000 DM","between 4 and 7 years","less than 20","male:single","none","between 1 and 4 years","car/other",27.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no balance",36.0,"no previous credits or paid back","repair",3711.0,"greater than 1000 DM","between 1 and 4 years","between 25 and 35","male:married/widowed","none","between 1 and 4 years","savings contract with a building society/Life insurance",27.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no balance",6.0,"no problems with current credits at this bank","retraining",1449.0,"less than 100 DM","greater than 7 years","greater than 35","male:divorced/living apart","none","between 1 and 4 years","savings contract with a building society/Life insurance",31.0,"at other banks","rented","2 or 3","skilled worker/skilled employee/minor civil servant","0 to 2","no","yes","good"
"no balance",48.0,"problematic running accounts","other",12169.0,"greater than 1000 DM","unemployed","less than 20","male:single","co-applicant","greater than 7 years","ownership of house or land",36.0,"no further running credits","owner","one","executive/self-employed/higher civil servant","3 and more","yes","yes","good"
"no running account",12.0,"no previous credits or paid back","repair",795.0,"no savings","less than 1 year","less than 20","female:divorced/living apart/married","none","greater than 7 years","car/other",53.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
">=200 DM",15.0,"no previous credits or paid back","new car",1300.0,"greater than 1000 DM","greater than 7 years","less than 20","male:single","none","greater than 7 years","ownership of house or land",45.0,"at other banks","owner","one","skilled worker/skilled employee/minor civil servant","0 to 2","no","yes","good"
">=200 DM",36.0,"no problems with current credits at this bank","new car",8947.0,"greater than 1000 DM","between 4 and 7 years","between 20 and 25","male:single","none","between 1 and 4 years","savings contract with a building society/Life insurance",31.0,"at department store or mail order house","rented","one","executive/self-employed/higher civil servant","0 to 2","yes","yes","good"
">=200 DM",24.0,"paid back previous credits at this bank","items of furniture",2684.0,"no savings","between 1 and 4 years","less than 20","male:single","none","between 1 and 4 years","no assets",35.0,"no further running credits","rented","2 or 3","unskilled with permanant residence","3 and more","no","yes","good"
"<= 200 DM",10.0,"no previous credits or paid back","radio/television",1225.0,"no savings","between 1 and 4 years","between 25 and 35","male:single","none","between 1 and 4 years","savings contract with a building society/Life insurance",37.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no balance",27.0,"no problems with current credits at this bank","new car",5965.0,"no savings","greater than 7 years","greater than 35","male:single","none","between 1 and 4 years","savings contract with a building society/Life insurance",30.0,"no further running credits","rented","2 or 3","executive/self-employed/higher civil servant","3 and more","yes","yes","good"
">=200 DM",12.0,"paid back previous credits at this bank","household appliances",996.0,"greater than 1000 DM","between 4 and 7 years","less than 20","female:divorced/living apart/married","none","greater than 7 years","no assets",23.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
">=200 DM",24.0,"no previous credits or paid back","items of furniture",1552.0,"no savings","between 4 and 7 years","between 20 and 25","male:single","none","less than 1 year","savings contract with a building society/Life insurance",32.0,"at other banks","rented","one","skilled worker/skilled employee/minor civil servant","0 to 2","no","yes","good"
"no running account",12.0,"paid back previous credits at this bank","items of furniture",385.0,"no savings","between 4 and 7 years","less than 20","female:divorced/living apart/married","none","between 4 and 7 years","no assets",58.0,"no further running credits","rented","6 or more","unskilled with permanant residence","3 and more","yes","yes","good"
"no balance",24.0,"no problems with current credits at this bank","retraining",4712.0,"greater than 1000 DM","between 1 and 4 years","less than 20","male:single","none","between 1 and 4 years","car/other",34.0,"at other banks","rented","2 or 3","executive/self-employed/higher civil servant","3 and more","yes","yes","good"
">=200 DM",9.0,"paid back previous credits at this bank","repair",1244.0,"greater than 1000 DM","greater than 7 years","less than 20","female:divorced/living apart/married","none","greater than 7 years","car/other",41.0,"no further running credits","free apartment","2 or 3","unskilled with permanant residence","3 and more","no","yes","good"
">=200 DM",6.0,"problematic running accounts","items of furniture",1750.0,"between 100 and 500 DM","greater than 7 years","between 25 and 35","male:single","none","greater than 7 years","car/other",45.0,"at other banks","rented","one","unskilled with permanant residence","0 to 2","no","yes","good"
"no balance",18.0,"no previous credits or paid back","retraining",2622.0,"less than 100 DM","between 1 and 4 years","less than 20","male:single","none","greater than 7 years","savings contract with a building society/Life insurance",34.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
">=200 DM",9.0,"paid back previous credits at this bank","repair",936.0,"between 100 and 500 DM","greater than 7 years","less than 20","male:single","none","between 1 and 4 years","savings contract with a building society/Life insurance",52.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no balance",24.0,"no previous credits or paid back","items of furniture",5084.0,"greater than 1000 DM","greater than 7 years","between 25 and 35","female:divorced/living apart/married","none","greater than 7 years","savings contract with a building society/Life insurance",42.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
">=200 DM",36.0,"no problems with current credits at this bank","other",10875.0,"no savings","greater than 7 years","between 25 and 35","male:single","none","between 1 and 4 years","savings contract with a building society/Life insurance",45.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","0 to 2","yes","yes","good"
">=200 DM",48.0,"no previous credits or paid back","retraining",3914.0,"greater than 1000 DM","between 1 and 4 years","less than 20","male:divorced/living apart","none","between 1 and 4 years","no assets",38.0,"at other banks","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
"no running account",42.0,"no previous credits or paid back","used car",7882.0,"no savings","between 4 and 7 years","between 25 and 35","male:single","guarantor","greater than 7 years","car/other",45.0,"no further running credits","owner","one","skilled worker/skilled employee/minor civil servant","0 to 2","no","yes","good"
">=200 DM",18.0,"no previous credits or paid back","items of furniture",433.0,"no savings","unemployed","between 20 and 25","female:divorced/living apart/married","co-applicant","greater than 7 years","no assets",22.0,"no further running credits","free apartment","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
">=200 DM",12.0,"paid back previous credits at this bank","items of furniture",717.0,"no savings","greater than 7 years","less than 20","male:single","none","greater than 7 years","no assets",52.0,"no further running credits","rented","4 or 5","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no balance",6.0,"problematic running accounts","repair",433.0,"between 500 and 1000 DM","less than 1 year","less than 20","female:divorced/living apart/married","none","between 1 and 4 years","car/other",24.0,"at other banks","free apartment","one","skilled worker/skilled employee/minor civil servant","0 to 2","no","yes","bad"
">=200 DM",24.0,"no previous credits or paid back","items of furniture",1311.0,"less than 100 DM","between 4 and 7 years","less than 20","male:married/widowed","none","between 4 and 7 years","car/other",26.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
">=200 DM",24.0,"no previous credits or paid back","items of furniture",1278.0,"no savings","greater than 7 years","less than 20","male:single","none","less than 1 year","no assets",36.0,"no further running credits","rented","one","executive/self-employed/higher civil servant","3 and more","yes","yes","good"
">=200 DM",24.0,"no previous credits or paid back","used car",3972.0,"no savings","between 4 and 7 years","between 25 and 35","female:divorced/living apart/married","none","greater than 7 years","car/other",25.0,"no further running credits","free apartment","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
">=200 DM",6.0,"no previous credits or paid back","items of furniture",1346.0,"less than 100 DM","greater than 7 years","between 25 and 35","male:single","none","greater than 7 years","ownership of house or land",42.0,"at other banks","owner","one","skilled worker/skilled employee/minor civil servant","0 to 2","yes","yes","good"
"no running account",24.0,"no previous credits or paid back","new car",2964.0,"greater than 1000 DM","greater than 7 years","less than 20","male:single","none","greater than 7 years","ownership of house or land",49.0,"at other banks","owner","one","skilled worker/skilled employee/minor civil servant","0 to 2","yes","yes","good"
"no balance",24.0,"paid back previous credits at this bank","items of furniture",1743.0,"no savings","greater than 7 years","less than 20","male:single","none","between 1 and 4 years","car/other",48.0,"no further running credits","rented","2 or 3","unskilled with permanant residence","3 and more","no","yes","good"
">=200 DM",18.0,"paid back previous credits at this bank","items of furniture",1582.0,"between 500 and 1000 DM","greater than 7 years","less than 20","male:single","none","greater than 7 years","savings contract with a building society/Life insurance",46.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no balance",24.0,"no previous credits or paid back","other",1355.0,"no savings","less than 1 year","between 20 and 25","female:divorced/living apart/married","none","greater than 7 years","savings contract with a building society/Life insurance",25.0,"no further running credits","rented","one","unskilled with permanant residence","3 and more","yes","yes","bad"
">=200 DM",24.0,"paid back previous credits at this bank","used car",1585.0,"no savings","between 4 and 7 years","less than 20","male:single","none","between 4 and 7 years","car/other",40.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
">=200 DM",12.0,"no previous credits or paid back","other",640.0,"no savings","between 1 and 4 years","less than 20","male:divorced/living apart","none","between 1 and 4 years","no assets",49.0,"no further running credits","rented","one","unskilled with permanant residence","3 and more","no","yes","good"
">=200 DM",6.0,"paid back previous credits at this bank","items of furniture",1554.0,"no savings","between 4 and 7 years","greater than 35","female:divorced/living apart/married","none","between 1 and 4 years","savings contract with a building society/Life insurance",24.0,"no further running credits","free apartment","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
">=200 DM",12.0,"no problems with current credits at this bank","household appliances",1555.0,"between 500 and 1000 DM","greater than 7 years","less than 20","male:single","none","greater than 7 years","ownership of house or land",55.0,"no further running credits","owner","2 or 3","skilled worker/skilled employee/minor civil servant","0 to 2","no","yes","bad"
">=200 DM",24.0,"paid back previous credits at this bank","retraining",4139.0,"less than 100 DM","between 1 and 4 years","between 20 and 25","male:single","none","between 4 and 7 years","car/other",27.0,"no further running credits","rented","2 or 3","unskilled with permanant residence","3 and more","yes","yes","good"
"no balance",21.0,"no previous credits or paid back","retraining",2767.0,"less than 100 DM","greater than 7 years","less than 20","male:divorced/living apart","none","between 1 and 4 years","savings contract with a building society/Life insurance",61.0,"no further running credits","free apartment","2 or 3","unskilled with permanant residence","3 and more","no","yes","bad"
">=200 DM",12.0,"paid back previous credits at this bank","items of furniture",2331.0,"greater than 1000 DM","greater than 7 years","greater than 35","male:single","co-applicant","greater than 7 years","no assets",49.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
">=200 DM",9.0,"no previous credits or paid back","used car",1313.0,"no savings","greater than 7 years","greater than 35","male:single","none","greater than 7 years","savings contract with a building society/Life insurance",20.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no running account",24.0,"paid back previous credits at this bank","new car",6615.0,"no savings","unemployed","between 25 and 35","male:single","none","greater than 7 years","ownership of house or land",75.0,"no further running credits","owner","2 or 3","executive/self-employed/higher civil servant","3 and more","yes","yes","good"
">=200 DM",4.0,"paid back previous credits at this bank","items of furniture",1544.0,"no savings","between 4 and 7 years","between 25 and 35","male:single","none","less than 1 year","no assets",42.0,"no further running credits","rented","4 or 5","unskilled with permanant residence","0 to 2","no","yes","good"
"no running account",24.0,"no previous credits or paid back","other",1381.0,"greater than 1000 DM","between 1 and 4 years","less than 20","female:divorced/living apart/married","none","between 1 and 4 years","car/other",35.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
"no balance",18.0,"no previous credits or paid back","new car",2779.0,"no savings","between 1 and 4 years","greater than 35","male:married/widowed","none","between 4 and 7 years","savings contract with a building society/Life insurance",21.0,"no further running credits","free apartment","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no running account",24.0,"problematic running accounts","used car",2828.0,"between 100 and 500 DM","between 1 and 4 years","less than 20","male:single","none","greater than 7 years","no assets",22.0,"at department store or mail order house","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
">=200 DM",11.0,"no previous credits or paid back","retraining",2142.0,"between 500 and 1000 DM","greater than 7 years","greater than 35","male:divorced/living apart","none","between 1 and 4 years","no assets",28.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
">=200 DM",24.0,"no previous credits or paid back","items of furniture",1413.0,"no savings","between 1 and 4 years","less than 20","male:married/widowed","none","between 1 and 4 years","car/other",28.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"<= 200 DM",6.0,"paid back previous credits at this bank","other",1343.0,"no savings","greater than 7 years","greater than 35","male:single","none","greater than 7 years","no assets",46.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","0 to 2","no","no","good"
